name,receipt_nr,amount,price,comment,shop_id
ligula,641221OKF138,2,917.00,"leo elementum sem,",10
ipsum. Phasellus vitae,630667GPC868,1,261.72,ante ipsum,17
Curabitur egestas,493673SXJ585,1,970.44,In nec,7
"blandit. Nam nulla magna,",852515KLZ946,1,432.56,"auctor quis, tristique ac, eleifend vitae,",8
eros,696568HMM267,2,880.21,purus mauris,12
Praesent luctus. Curabitur,158876ISY371,1,385.12,augue,19
"ornare placerat, orci",672174OYI627,2,540.36,lacus. Ut nec urna et arcu,6
primis in faucibus,184520ERU462,2,016.13,"rutrum, justo. Praesent luctus. Curabitur",5
"ornare, lectus ante dictum",784133AWY775,1,836.41,In ornare sagittis felis.,5
"gravida non, sollicitudin a,",256839GWR215,1,678.55,"lorem, vehicula et, rutrum eu,",2
"ac, eleifend vitae,",521027UEE656,1,077.26,imperdiet ornare. In faucibus. Morbi,4
"laoreet, libero et",958958HMU677,1,023.10,"Fusce diam nunc, ullamcorper",4
tincidunt adipiscing. Mauris,604145JJE714,2,577.79,ac nulla. In tincidunt congue,3
Integer urna. Vivamus molestie,364037ZVH720,1,878.23,"Aliquam auctor, velit eget laoreet posuere,",7
nisl. Quisque fringilla,015134JRF873,2,850.45,Nunc sollicitudin commodo ipsum.,15
neque. Sed eget,583172WLH636,2,262.61,at augue id,2
Sed et libero.,181435DHI511,2,398.71,senectus et netus,6
"parturient montes,",527891NIX321,1,847.86,pharetra. Nam,6
mollis,634434EOP626,2,124.70,Suspendisse eleifend. Cras sed leo. Cras,16
"congue a, aliquet",408215HJZ739,2,475.17,,20
erat vitae,162815REE994,1,455.17,"mollis dui, in sodales elit",15
odio. Etiam,229568YMN890,2,986.00,condimentum. Donec at,7
fermentum,058863ZJH913,1,662.76,iaculis,12
quis diam. Pellentesque,477426UAW716,2,468.88,cursus. Integer mollis. Integer,10
Nam interdum,881533KIR241,1,780.92,"dictum eleifend,",12
Aliquam erat,249188FFU148,1,687.28,metus. Aliquam erat,4
diam luctus,741886XSQ883,2,700.36,aliquam adipiscing lacus.,18
purus ac tellus.,288874YYJ465,1,236.79,"in, hendrerit",2
Donec est,854333RSL606,2,513.38,"pede, malesuada vel, venenatis",18
Mauris,845033NUB188,2,420.76,mattis. Integer,5
fermentum convallis ligula.,663678VNJ187,2,166.17,vestibulum massa rutrum magna. Cras convallis,15
nisi dictum,538485XLZ774,2,551.33,egestas. Aliquam,20
Nulla eu neque pellentesque,652854CVC892,2,194.34,Ut,13
Donec vitae,386296LON868,2,355.64,"mi pede,",8
sagittis,884846KCT767,1,679.63,"urna,",3
dignissim magna a tortor.,496538SHY016,1,253.88,vulputate ullamcorper magna.,13
"non, cursus non,",865335VDM834,1,332.34,turpis nec mauris blandit,19
non quam.,536708EVI883,1,301.79,Nullam lobortis quam a felis ullamcorper,17
"nec, mollis vitae, posuere",514827BHR473,2,491.10,,17
Vivamus rhoncus.,223727IXJ865,1,546.34,"rutrum non,",5
felis,464692AXH454,1,439.47,"dictum eu,",7
Quisque varius.,723200PGV693,2,365.89,,2
metus. In,602558XEX436,1,915.43,metus facilisis lorem,15
"elit. Etiam laoreet,",616713MVT015,2,757.02,"consequat nec, mollis vitae, posuere",4
urna suscipit nonummy. Fusce,341027HJI303,2,093.81,"congue a, aliquet vel,",8
"imperdiet non,",433184SNY199,2,834.55,Nam tempor diam dictum sapien.,1
